     **********************************************************
                               data
     **********************************************************
  ==data==01-set
  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   44     1    44000121     59.40    57.07         5000
               44000140      1.80     1.58       1/2776      9.42%    1.00
   43     1    43000133     59.03    56.06         4000
               43000145      1.49     1.39       1/2689      2.44%    0.84
   42     1    42000205     57.94    54.87         3000
               42000221      1.13     1.06       1/2645      3.47%    0.89
   41     1    41000228     57.05    53.91         3000
               41000247      1.16     1.10       1/2586      3.35%    0.90
   40     1    40000228     56.11    52.91         3000
               40000247      1.19     1.13       1/2532      3.49%    0.89
   39     1    39000228     55.14    51.89         3000
               39000247      1.21     1.17       1/2475      3.34%    0.89
   38     1    38000228     54.13    50.83         3000
               38000247      1.24     1.21       1/2420      3.11%    0.89
   37     1    37000228     53.08    49.75         3000
               37000228      1.28     1.25       1/2335      2.76%    0.89
   36     1    36000228     52.00    48.63         3000
               36000228      1.33     1.28       1/2263      2.29%    0.88
   35     1    35000228     50.88    47.49         3000
               35000228      1.36     1.31       1/2207      1.52%    0.88
   34     1    34000228     49.72    46.32         3000
               34000228      1.38     1.33       1/2176      0.09%    0.87
   33     1    33000229     48.55    45.13         3000
               33000229      1.37     1.33       1/2188      1.65%    0.85
   32     1    32000229     47.13    43.70         4900
               32000229      2.28     2.21       1/2152      6.27%    0.85
   31     1    31000190     45.38    41.91         3000
               31000190      1.51     1.44       1/1984      1.68%    0.90
   30     1    30000228     44.07    40.60         3000
               30000228      1.54     1.46       1/1948      1.94%    0.89
   29     1    29000228     42.72    39.27         3000
               29000228      1.58     1.49       1/1904      1.57%    0.88
   28     1    28000228     41.32    37.91         3000
               28000228      1.61     1.51       1/1869      1.38%    0.86
   27     1    27000228     39.90    36.52         3000
               27000228      1.63     1.53       1/1839      1.16%    0.86
   26     1    26000228     38.43    35.11         3000
               26000228      1.65     1.55       1/ 914      0.96%    0.86
   25     1    25000228     36.94    33.67         3000
               25000228      1.67     1.57       1/1794      0.76%    0.85
   24     1    24000228     35.42    32.21         3000
               24000228      1.69     1.58       1/1777      0.55%    0.85
   23     1    23000228     33.88    30.73         3000
               23000228      1.70     1.59       1/1765      0.31%    0.84
   22     1    22000228     32.31    29.24         3000
               22000228      1.71     1.59       1/1757      0.05%    0.84
   21     1    21000228     30.72    27.74         3000
               21000228      1.71     1.59       1/1754      0.28%    0.84
   20     1    20000228     29.12    26.22         3000
               20000228      1.71     1.59       1/1758      0.72%    0.83
   19     1    19000228     27.52    24.71         3000
               19000228      1.69     1.58       1/ 972      1.41%    0.83
   18     1    18000228     25.92    23.19         3000
               18000228      1.67     1.55       1/1802      3.04%    0.82
   17     1    17000229     24.33    21.69         3000
               17000229      1.60     1.51       1/1874      1.96%    0.80
   16     1    16000229     22.61    20.07         4900
               16000229      2.56     2.41       1/1912      3.54%    0.80
   15     1    15000190     20.30    17.86         3000
               15000190      1.67     1.53       1/ 999      0.95%    0.84
   14     1    14000228     18.68    16.36         3000
               14000228      1.66     1.51       1/ 810      0.82%    0.84
   13     1    13000228     17.06    14.87         3000
               13000228      1.66     1.50       1/1811      1.39%    0.83
   12     1    12000228     15.44    13.40         3000
               12000228      1.65     1.48       1/1824      1.83%    0.81
   11     1    11000228     13.82    11.94         3000
               11000228      1.63     1.45       1/1844      2.38%    0.81
   10     1    10000228     12.22    10.50         3000
               10000228      1.60     1.42       1/1875      3.03%    0.80
    9     1     9000228     10.64     9.10         3000
                9000228      1.56     1.37       1/1919      3.83%    0.79
    8     1     8000228      9.09     7.73         3000
                8000228      1.52     1.32       1/1979      4.89%    0.78
    7     1     7000228      7.59     6.42         3000
                7000228      1.45     1.26       1/2062      6.07%    0.76
    6     1     6000228      6.14     5.17         3000
                6000228      1.38     1.18       1/2175      8.24%    0.75
    5     1     5000228      4.77     4.00         3000
                5000228      1.28     1.08       1/2349     10.72%    0.72
    4     1     4000228      3.49     2.92         3000
                4000228      1.15     0.97       1/2604     15.05%    0.69
    3     1     3000228      2.34     1.96         3000
                3000228      0.99     0.82       1/3038     23.48%    0.65
    2     1     2000228      1.36     1.14         3000
                2000228      0.76     0.63       1/3962     51.72%    0.59
    1     1     1000253      0.60     0.51         5000
                1000253      0.60     0.51       1/8301    100.00%    0.37
  ==data==02-set

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   44     1    44000121     61.71    58.77         5000
               44000140      1.84     1.66       1/ 999     10.00%    1.00
   43     1    43000133     61.91    58.03         4000
